993758;Precarious employment and mental health: a systematic review and meta-analysis of longitudinal studies
291855;Associations of Parental Self-Efficacy With Diet, Physical Activity, Body Composition, and Cardiorespiratory Fitness in Swedish Preschoolers: Results From the MINISTOP Trial
786907;Vegetation cover in relation to socioeconomic factors in a tropical city assessed from sub-meter resolution imagery
437061;COVID-19 Mitigation Behaviors by Age Group - United States, April-June 2020
518107;Metformin suppresses Nrf2-mediated chemoresistance in hepatocellular carcinoma cells by increasing glycolysis
274269;Therapeutic Effects and Safe Uses of Plant-Derived Polyphenolic Compounds in Cardiovascular Diseases: A Review
98581;Inositol hexakisphosphate kinase 3 promotes focal adhesion turnover via interactions with dynein intermediate chain 2
823049;Incomplete convergence of gliding mammal skeletons
277486;Contemporary Multidisciplinary Management of Sinonasal Mucosal Melanoma
905696;Effects of phytolithic rice-straw biochar, soil buffering capacity and pH on silicon bioavailability
660855;Character displacement in the midst of background evolution in island populations of Anolis lizards: A spatiotemporal perspective
949707;Institutions, Incorporation, and Inequality: The Case of Minority Health Inequalities in Europe
739539;Fracture Nonunion of the Clavicle After Surgical Reduction in a 13-Year-Old Girl: A Case Report
427611;Nitric oxide and phytohormone interactions in the response of Lactuca sativa to salinity stress
901151;Predictive Factors Among Clinicopathological Characteristics for Sentinel Lymph Node Metastasis in T1-T2 Breast Cancer
610488;Hsa_circ_0043265 Suppresses Proliferation, Metastasis, EMT and Promotes Apoptosis in Non-Small Cell Lung Cancer Through miR-25-3p/FOXP2 Pathway
979782;Childhood maltreatment is associated with changes in mitochondrial bioenergetics in maternal, but not in neonatal immune cells
284569;Effects of neighbour location and nutrient distributions on root foraging behaviour of the common sunflower
583307;Mandated Social Disclosure: An Analysis of the Response to the California Transparency in Supply Chains Act of 2010
500929;A comparative carbon footprint analysis of disposable and reusable vaginal specula
411159;Capsaicin ameliorate the nephrotoxicity induced by methotrexate
724699;Synergistic effects of liposomes encapsulating atorvastatin calcium and curcumin and targeting dysfunctional endothelial cells in reducing atherosclerosis
330249;Update: Recommendations of the Advisory Committee on Immunization Practices for Use of Hepatitis A Vaccine for Postexposure Prophylaxis and for Preexposure Prophylaxis for International Travel
952886;What explains high plant richness in East Asia? Time and diversification in the tribe Lysimachieae (Primulaceae)
765672;Nitrogen additions reduce rhizospheric and heterotrophic respiration in a subtropical evergreen broad-leaved forest
773431;Evaluation of the Effectiveness of Surveillance and Containment Measures for the First 100 Patients with COVID-19 in Singapore - January 2-February 29, 2020
903325;How to make a tumour: cell type specific dissection of Ustilago maydis-induced tumour development in maize leaves
615691;Population-Based Analysis Of The Use Of Radium-223 For Bone-Metastatic Castration-Resistant Prostate Cancer In Ontario, And Of Factors Associated With Treatment Completion And Outcome
607990;Color-matching between pollen and corolla: hiding pollen via visual crypsis?
978929;Ponatinib: a novel multi-tyrosine kinase inhibitor against human malignancies
547077;Ten simple rules on how to develop a stakeholder engagement plan
169244;Domestic tethers: Gender differences in career paths and domestic responsibilities of top-research medical school graduates
138861;Vitiligo-Like Lesions in a Patient with Metastatic Breast Cancer Treated with Cyclin-Dependent Kinase (CDK) 4/6 Inhibitor: A Case Report and Literature Review
923386;Thermodynamics of relativistic quantum fields confined in cavities
400207;Social Prescribing in National Health Service Primary Care: What Are the Ethical Considerations?
305054;Melbourne: The Archaeology of a World City
318858;Communication and humanization of care: Effects over burnout on nurses
515974;Exploring the lived experience of Long Covid in black and minority ethnic groups in the UK: Protocol for qualitative interviews and art-based methods
273679;Laminin and collagen IV inclusion in immunoisolating microcapsules reduces cytokine-mediated cell death in human pancreatic islets
859789;Probabilistic Opinion Pooling with Imprecise Probabilities
676074;A community resource to mass explore the wheat grain proteome and its application to the late-maturity alpha-amylase (LMA) problem
358811;Logging and soil nutrients independently explain plant trait expression in tropical forests
219224;Prognostic indicators and outcomes of hospitalised COVID-19 patients with neurological disease: An individual patient data meta-analysis
