1;"Objectives Precarious employment (PE) is a term used to describe non-standard employment forms characterized by low security that may have negative effects on mental health. The objective of this review was to systematically review the evidence for effects of PE on mental health and identify important areas for further research. 
Methods A protocol was developed following PRISMA-P guidelines. Web of Science, PubMed and PsycINFO were searched up to 4 September 2017. All unique records were assessed for eligibility and quality by at least two reviewers. Data from included studies were summarized in forest plots and meta-analyses using a random-effects model. 
Evidence quality was rated using the GRADE method. Results We obtained 3328 unique records, of which 16 studies of sufficient quality met the inclusion criteria. Moderate quality evidence (GRADE score 3 of 4) was found for an adverse effect of job insecurity on mental health; summary odds ratio (OR) 1.52 [95% confidence interval (CI) 1.35-1.70]. 
There was very low quality (GRADE 1 of 4) evidence for effects of temporary employment or unpredictable work hours on mental health. Five studies on multidimensional exposures all showed adverse effects, weighted average OR 2.01 (95% CI 1.60-2.53). Conclusions Research on PE and mental health is growing, but high-quality prospective studies are still scarce. 
Job insecurity likely has an adverse effect on mental health. A clear multi-dimensional definition of PE is lacking, and harmonization efforts are needed. Further single-variable observational studies on job insecurity or temporary employment should not be prioritized."
2;"High parental self-efficacy (PSE) has been associated with healthy diets and higher levels of physical activity (PA) in children; however, data on PSE in relation to body weight and body composition are scarce. The objective of this study was to investigate associations of PSE with measures of diet, PA, body composition, and physical fitness in early childhood. 
We used baseline data from the MINISTOP trial in healthy Swedish children ( n = 301; 4.5 ± 0.15 years). PSE was assessed using a questionnaire, dietary data were collected using a mobile technology-assisted methodology, and PA was obtained (sedentary behavior and moderate-to-vigorous) by accelerometry. 
Body composition was measured using the pediatric option for BodPod and cardiorespiratory fitness by the 20 m shuttle run. Linear regression was conducted to evaluate cross-sectional associations of the outcomes in relation to total PSE and scores computed for the individual PSE factors: (1) diet, (2) limit setting of unhealthful behaviors, and (3) PA. 
Higher scores of total PSE and the diet factor were associated with higher fruit intake (β = 0.82 g/point and 1.99 g/point; p = .014 and .009, respectively) and lower consumption of unhealthy snacks (β = -0.42 g/point and -0.89 g/point; p = .012 and .020, respectively) after adjustment for parental body mass index and education, respondent, and child's sex and age. 
No associations were observed between PSE and PA, body composition, or cardiorespiratory fitness. Our study noted that PSE should be considered in conjunction with other strategies for a sustainable impact on childhood obesity."
3;"Fine-scale information about urban vegetation and social-ecological relationships is crucial to inform both urban planning and ecological research, and high spatial resolution imagery is a valuable tool for assessing urban areas. However, urban ecology and remote sensing have largely focused on cities in temperate zones. 
Our goal was to characterize urban vegetation cover with sub-meter (<1 m) resolution aerial imagery, and identify social-ecological relationships of urban vegetation patterns in a tropical city, the San Juan Metropolitan Area, Puerto Rico. Our specific objectives were to (1) map vegetation cover using sub-meter spatial resolution (0.3-m) imagery, (2) quantify the amount of residential and non-residential vegetation, and (3) investigate the relationship between patterns of urban vegetation vs. socioeconomic and environmental factors. 
We found that 61% of the San Juan Metropolitan Area was green and that our combination of high spatial resolution imagery and object-based classification was highly successful for extracting vegetation cover in a moist tropical city (97% accuracy). In addition, simple spatial pattern analysis allowed us to separate residential from non-residential vegetation with 76% accuracy, and patterns of residential and non-residential vegetation varied greatly across the city. 
Both socioeconomic (e.g., population density, building age, detached homes) and environmental variables (e.g., topography) were important in explaining variations in vegetation cover in our spatial regression models. However, important socioeconomic drivers found in cities in temperate zones, such as income and home value, were not important in San Juan. 
Climatic and cultural differences between tropical and temperate cities may result in different social-ecological relationships. Our study provides novel information for local land use planners, highlights the value of high spatial resolution remote sensing data to advance ecological research and urban planning in tropical cities, and emphasizes the need for more studies in tropical cities."
4;"CDC recommends a number of mitigation behaviors to prevent the spread of SARS-CoV-2, the virus that causes coronavirus disease 2019 (COVID-19). Those behaviors include 1) covering the nose and mouth with a mask to protect others from possible infection when in public settings and when around persons who live outside of one's household or around ill household members; 2) maintaining at least 6 feet (2 meters) of distance from persons who live outside one's household, and keeping oneself distant from persons who are ill; and 3) washing hands often with soap and water for at least 20 seconds, or, if soap and water are not available, using hand sanitizer containing at least 60% alcohol (1). 
Age has been positively associated with mask use (2), although less is known about other recommended mitigation behaviors. Monitoring mitigation behaviors over the course of the pandemic can inform targeted communication and behavior modification strategies to slow the spread of COVID-19. The Data Foundation COVID Impact Survey collected nationally representative data on reported mitigation behaviors during April-June 2020 among adults in the United States aged ≥18 years (3). 
Reported use of face masks increased from 78% in April, to 83% in May, and reached 89% in June; however, other reported mitigation behaviors (e.g., hand washing, social distancing, and avoiding public or crowded places) declined marginally or remained unchanged. At each time point, the prevalence of reported mitigation behaviors was lowest among younger adults (aged 18-29 years) and highest among older adults (aged ≥60 years). 
Lower engagement in mitigation behaviors among younger adults might be one reason for the increased incidence of confirmed COVID-19 cases in this group, which have been shown to precede increases among those >60 years (4). These findings underscore the need to prioritize clear, targeted messaging and behavior modification interventions, especially for young adults, to encourage uptake and support maintenance of recommended mitigation behaviors to prevent the spread of COVID-19."
6;"The diabetes drug metformin has recently been shown to possess anti-cancer properties when used with other chemotherapeutic drugs. However, detailed mechanisms by which metformin improves cancer treatment are poorly understood. Here we provide evidence in HepG2 hepatocellular carcinoma cells that metformin sensitizes cisplatin-resistant HepG2 cells (HepG2/DDP) through increasing cellular glycolysis and suppressing Nrf2-dependent transcription. 
We show that metformin increases glucose uptake and enhances glucose metabolism through glycolytic pathway, resulting in elevated concentrations of intracellular NADPH and lactate. Consistently, high glucose medium suppresses Nrf2-dependent transcription and sensitizes HepG2/DDP cells to cisplatin. Elevated glycolysis was required for metformin to regulate Nrf2-dependent transcription and cisplatin sensitivity, as inhibition of glycolysis with 2-Deoxy-D-glucose (2-DG) significantly mitigates the beneficial effect of metformin. 
Together, our study has revealed an important biological process and gene transcriptional program underlying the beneficial effect of metformin on reducing chemo-resistance in HepG2 cells and provided new information on improving chemotherapy of liver cancers."
8;"Polyphenols have long been recognized as health-promoting entities, including beneficial effects on cardiovascular disease, but their reputation has been boosted recently following a number of encouraging clinical studies in multiple chronic pathologies, that seem to validate efficacy. Health benefits of polyphenols have been linked to their well-established powerful antioxidant activity. 
This review aims to provide comprehensive and up-to-date knowledge on the current therapeutic status of polyphenols having sufficient heed towards the treatment of cardiovascular diseases. Furthermore, data about the safety profile of highly efficacious polyphenols has also been investigated to further enhance their role in cardiac abnormalities. 
Evidence is presented to support the action of phenolic derivatives against cardiovascular pathologies by following receptors and signaling pathways which ultimately cause changes in endogenous antioxidant, antiplatelet, vasodilatory, and anti-inflammatory activities. In addition, in vitro antioxidant and pre-clinical and clinical experiments on anti-inflammatory as well as immunomodulatory attributes of polyphenols have revealed their role as cardioprotective agents. 
However, an obvious shortage of in vivo studies related to dose selection and toxicity of polyphenols makes these compounds a suitable target for clinical investigations. Further studies are needed for the development of safe and potent herbal products against cardiovascular diseases. The novelty of this review is to provide comprehensive knowledge on polyphenols safety and their health claims. 
It will help researchers to identify those moieties which likely exert protective and therapeutic effects towards cardiovascular diseases."
9;"Cells express a family of three inositol hexakisphosphate kinases (IP6Ks). Although sharing the same enzymatic activity, individual IP6Ks mediate different cellular processes. Here we report that IP6K3 is enriched at the leading edge of migrating cells where it associates with dynein intermediate chain 2 (DIC2). 
Using immunofluorescence microscopy and total internal reflection fluorescence microscopy, we found that DIC2 and IP6K3 are recruited interdependently to the leading edge of migrating cells, where they function coordinately to enhance the turnover of focal adhesions. Deletion of IP6K3 causes defects in cell motility and neuronal dendritic growth, eventually leading to brain malformations. 
Our results reveal a mechanism whereby IP6K3 functions in coordination with DIC2 in a confined intracellular microenvironment to promote focal adhesion turnover."
13;"Ecology and biomechanics play central roles in the generation of phenotypic diversity. When unrelated taxa invade a similar ecological niche, biomechanical demands can drive convergent morphological transformations. Thus, examining convergence helps to elucidate the key catalysts of phenotypic change. 
Gliding mammals are often presented as a classic case of convergent evolution because they independently evolved in numerous clades, each possessing patagia (""wing"" membranes) that generate lift during gliding. We use phylogenetic comparative methods to test whether the skeletal morphologies of the six clades of extant gliding mammals demonstrate convergence. 
Our results indicate that glider skeletons are convergent, with glider groups consistently evolving proportionally longer, more gracile limbs than arborealists, likely to increase patagial surface area. Nonetheless, we interpret gliders to represent incomplete convergence because (1) evolutionary model-fitting analyses do not indicate strong selective pressures for glider trait optima, (2) the three marsupial glider groups diverge rather than converge, and (3) the gliding groups remain separated in morphospace (rather than converging on a single morphotype), which is reflected by an unexpectedly high level of morphological disparity. 
That glider skeletons are morphologically diverse is further demonstrated by fossil gliders from the Mesozoic Era, which possess unique skeletal characteristics that are absent in extant gliders. Glider morphologies may be strongly influenced by factors such as body size and attachment location of patagia on the forelimb, which can vary among clades. 
Thus, convergence in gliders appears to be driven by a simple lengthening of the limbs, whereas additional skeletal traits reflect nuances of the gliding apparatus that are distinct among different evolutionary lineages. Our unexpected results add to growing evidence that incomplete convergence is prevalent in vertebrate clades, even among classic cases of convergence, and they highlight the importance of examining form-function relationships in light of phylogeny, biomechanics, and the fossil record."
14;"Sinonasal mucosal melanoma (SNMM) is a rare tumor, comprising less than 10% of sinonasal malignancies. SNMM most frequently occurs in the nasal cavity (70%) and maxillary sinus (14%), typically as black patches. Overall, SNMM harbors a very poor prognosis; 5-year survival is less than 30%. Nasal cavity tumors confer a better prognosis than sinus melanoma. 
The primary management for SNMM is surgery, when feasible, followed by adjuvant radiotherapy. Recent studies suggest that immunotherapy may confer survival benefit to patients with advanced disease. The multidisciplinary team approach has been shown to optimize treatment, reduce costs, and minimize adverse events, while maximizing the chances for cure."
16;"Supplying phytolith-rich biochar in agrosystems increases soil pH, CEC and nutrient availability, adding to the impact of Si uptake on plant growth. Here we studied this specific impact as influenced by soil properties, and assessed the role of phytoliths to provide plant available Si. We used a young Cambisol and a highly weathered, poorly buffered, desilicated Nitisol. 
The biochars were produced from rice plants respectively enriched (Si+) and depleted (Si-) in Si. They had identical pH and nutrient contents, but largely differed in Si content (51.3 g Si kg−1 in Si + vs 0.3 g Si kg−1 in Si-). We compared their effects to that of wollastonite (CaSiO3) on the biomass and mineralomass of wheat plants in a soil:solution:plant device. 
The contents of soil bioavailable Si and biogenic Si were assessed through an original CaCl2 kinetic extraction and the DeMaster Na2CO3 alkaline dissolution, respectively. The DeMaster technique dissolved Si from phytolith as well as from wollastonite. The soil buffering capacity (cmolc kg−1) was 31 in the Cambisol and 0.2 in the Nitisol. 
An identical supply of phytolithic biochar increased pH from 4.5 to 4.8 in the Cambisol, and from 4.8 to 7.4 in NI. It further increased the content of bioavailable Si (from 55 to 97 mg kg−1 in the Cambisol, and 36 to 209 mg kg−1 in the Nitisol), as well as plant Si uptake, biomass and Si mineralomass. 
That increase was largest in the Nitisol. The DeMaster technique did not specifically quantify the phytolith pool. This pool was the main source of plant available Si in both the Cambisol and Nitisol amended with phytolithic biochar. At identical phytolithic Si supply, however, soil pH and soil buffering capacity controlled the transfer of Si in the soil-plant system, which was largest in the poorly buffered Nitisol. 
The effect of phytolithic biochar on Si bioavailability was depending on soil constituents and properties, and thus on soil type."
