1;"Prospective Studies;Public aspects of medicine;Longitudinal Studies;longitudinal;anxiety;Developed Countries;Employment;longitudinal study;precarious employment;job insecurity;occupational health;review;temporary employment;metaanalysis;Humans;mental health;depression;RA11270;systematic review;Mental Health"
2;"Male;Surveys and Questionnaires;Diet;Sweden;Body Mass Index;Body Composition;MINISTOP trial;Exercise;Parents;physical fitness;Accelerometry;Cell Phone;Adult;body mass index;Female;Self Efficacy;Cardiorespiratory Fitness;CrossSectional Studies;body composition;Humans;Child Preschool;parental selfefficacy"
3;"Socioeconomic Factors;Puerto Rico;airborne imagery;residential vegetation;tropical city;green infrastructure;urban ecology;Cities;objectbased classification;Remote Sensing Technology;Residence Characteristics;land use planning;socialecological relationships;Gardens"
4;"Pneumonia Viral;Adult;Male;Pandemics;Age Factors;COVID19;United States;Self Report;Humans;Adolescent;Coronavirus Infections;Health Behavior;Young Adult;Female;Middle Aged"
6;"HepG2;glycolysis;metformin;Nrf2;liver cancer"
8;"Cardiovascular Diseases;clinical trials;RM1950;Polyphenols;Humans;Therapeutics Pharmacology;cardioprotective;cardiovascular diseases;antioxidant;polyphenols;Cardiotonic Agents"
9;"HEK293 Cells;Dendrites;Cellular Microenvironment;cell migration;FAK;Brain;Humans;focal adhesion;Neurons;Phosphotransferases Phosphate Group Acceptor;Cell Movement;IP6K;Cell Adhesion;inositol hexakisphosphate kinase;Cytoplasmic Dyneins;dynein;Focal Adhesions"
13;"Biological Evolution;Fossils;Adaptation Biological;Behavior Animal;Locomotion;Animals;Skeleton;Mammals"
14;"RC254282;mucosal melanoma;multidisciplinary;head and neck;Neoplasms Tumors Oncology Including cancer and carcinogens"
16;"Soil buffering capacity;Life Sciences;Ecology;Si bioavailability;pH;Biochar;Biomedical and Life Sciences;Soil Science  Conservation;Phytolith;Plant Sciences;Plant Physiology"
17;"Male;character displacement;Florida;habitat use;Behavior Animal;Animals;predictability;repeatability;Animal Distribution;interference;interspecific competition;Toes;Anolis sagrei;species invasion;Female;Competitive Behavior;Anolis carolinensis;Lizards;Biological Evolution;Ecosystem;Islands"
19;"Socioeconomic Factors;Male;Europe;Minority Health;Health Status Disparities;Humans;health inequalities;welfare state;Female;immigration;Social Welfare"
21;"Fractures Bone;Clavicle;Humans;Pseudarthrosis;Adolescent;Fracture Fixation Internal;Child;Female;Fractures Ununited"
22;"Sodium;Life Sciences;Nitric Oxide;Stress Physiological;Plant Sciences;Agriculture;Oxidative Stress;Indoleacetic Acids;Osmotic Pressure;Ethylene;Forestry;Plant Growth Regulators;Auxin;Biomedical and Life Sciences;Chlorophyll;Ecology;Salinity;Signal Transduction;Lettuce;Cell signaling;Photosynthesis;Sodium Chloride;Zeatin;Nitroprusside"
24;"predictive factor;nipple tumor distance;nippletumor distance;breast cancer;RC254282;sentinel lymph node metastasis;impaired glucose tolerance;Neoplasms Tumors Oncology Including cancer and carcinogens"
25;"hsa_ciingrc_0043265;miR253p;foxp2;progression;mir253p;NSCLC;RC254282;nsclc;hsa_circ_0043265;FOXP2;Neoplasms Tumors Oncology Including cancer and carcinogens"
26;"Adult;Child Abuse;Male;Maternal Inheritance;bioenergetics;intracellular density;Mothers;Pregnancy;Humans;immune cells;Young Adult;Mitochondria;childhood maltreatment;Energy Metabolism;mitochondria;Female;Infant;Leukocytes Mononuclear"
31;"foraging;Plant Roots;plantplant interactions;nutrient foraging;Soil;Nutrients;plant root foraging;Helianthus;plant behaviour"
32;"Quality of Life Research;Management;Ethics;Philosophy;Education;Disclosure;Business and Management general;Supply chains;Regulations;Business Ethics;Corporate social responsibility"
33;"carbon footprint;reprocessing;Disposable Equipment;Humans;Surgical Instruments;speculum;Sterilization;life cycle assessment;disposable;reusable;sterilization;Carbon Footprint"
34;"AntiInflammatory Agents;Male;Methotrexate;Kidney;Kidney Diseases;Disease Models Animal;Inflammation Mediators;Rats SpragueDawley;Antioxidants;Capsaicin;Animals;Oxidative Stress"
35;"Atorvastatin calcium;Liposomes;Targeted codelivery;Animals;Curcumin;combined therapy;Atherosclerosis;Cell Survival;Drug Synergism;SELE protein human;Static Electricity;atorvastatin calcium;Intercellular Adhesion Molecule1;Endothelial Cells;Interleukin6;Ligands;Antiatherosclerosis;ESelectin;Chemokine CCL2;R5920;Combined therapy;Inflammation;Cell Death;Mice Knockout;curcumin;Medicine General;antiatherosclerosis;Humans;Particle Size;Lipids;targeted codelivery;Atorvastatin;Apolipoproteins E"
38;"Immunization Schedule;Advisory Committees;Child;Infant;PreExposure Prophylaxis;Vaccines Inactivated;Adult;Immunoglobulins;Hepatitis A Vaccines;Adolescent;PostExposure Prophylaxis;Young Adult;Immunization;Centers for Disease Control and Prevention US;Humans;Child Preschool;Hepatitis A;United States;Travel"
44;"biogeography;Phylogeny;phylogeny;Asia Eastern;species richness;diversification rate;Lysimachieae;Primulaceae;Biodiversity;Phylogeography"
46;"Life Sciences;Heterotrophic respiration;Biomedical and Life Sciences;Nitrogen deposition;Soil respiration component;Soil Science  Conservation;Ecology;Rhizospheric respiration;Plant Sciences;Plant Physiology"
47;"Pneumonia Viral;Adult;Male;COVID19;Disease Outbreaks;Humans;Coronavirus Infections;Singapore;Population Surveillance;Female;Middle Aged"
48;"Gene Expression Regulation Plant;Plant Tumors;Cell Shape;maize Zea mays;Endoreduplication;Zea mays;Ustilago maydis;DNA;Cell Wall;Fungal Proteins;metabolic reprogramming;Chloroplasts;Cell Differentiation;Cell Division;Ustilago;tumour formation;Cell Proliferation;laser capture microdissection;Plant Leaves;effectors;cell differentiation;cell type specificity"
49;"metastatic prostate cancer;realworld;predictive markers of outcome;RC254282;radium 223;Neoplasms Tumors Oncology Including cancer and carcinogens"
53;"Pollen;Pigmentation;Phylogeny;Linear Models;subalpine community;Species Specificity;Principal Component Analysis;flower color;spectral reflectance;conflicting selection;pollen color;Flowers;Color;pollen theft;color difference"
59;"Multikinase inhibitor;cancer treatment;RC254282;repurposing;Ponatinib;ponatinib;Neoplasms Tumors Oncology Including cancer and carcinogens;multikinase inhibitor"
62;"Biology General;Communication;Research Personnel;Stakeholder Participation;Humans;QH3017055"
69;"Male;Medicine;Science;Career Mobility;Humans;Physicians;Sex Factors;Surveys and Questionnaires;Schools Medical;Physicians Women;Female;Career Choice"
72;"Dermatology;CDK46 inhibitors;vitiligo;breast cancer;RL1803;cdk46 inhibitors;vitiligolike;skin adverse events;ribociclib"
78;"grqc;quantph;Fluctuation relations;Quantum machines;Quantum thermodynamics;Gravitational waves;Quantum fields"
79;"Primary Health Care;State Medicine;Humans;Social Support;Social Welfare;United Kingdom"
81;"British;Australia;Archaeology;Colonialism;Urban archaeology;Social Sciences;SC9"
83;"Nursing Staff Hospital;Communication;Burnout Professional;Male;Medicine;Job Satisfaction;Science;Humans;Female"
92;"Medicine;COVID19;PostAcute COVID19 Syndrome;Science;Minority Groups;Humans;Ethnicity;Qualitative Research;United Kingdom"
93;"alginate capsules;Tissue Survival;Collagen Type IV;Nitric Oxide;Energy Metabolism;Oxygen Consumption;Cells Immobilized;extracellular matrix;Microspheres;Apoptosis;Extracellular Matrix;arginylglycylaspartic acid;Alarmins;Oligopeptides;Laminin;Cytokines;islet;prolylaspartylserylglycylarginine;apoptosis;Cell Death;necrosis;cytokines;Humans;Necrosis;Islets of Langerhans"
95;"Pooling;Philosophy;Social epistemology;Aggregation;SC21;Logic;Imprecise probabilities;Consensus"
97;"Triticum;data mining;latematurity alphaamylase;Community Resources;circos plot;LMA;Proteome;Starch;Seeds;big data;LCMSMS;bottomup shotgun proteomics;Uridine Diphosphate;alphaAmylases;Triticum aestivum;largescale highthroughput workflow;statistics"
102;"Tropical Climate;Borneo;Carbon13;Malaysia;functional traits;Biodiversity;Trees;Raos Q;functional diversity;Forests;land use;Soil;Carbon Isotopes;anthropogenic disturbance;Nitrogen15;Ecosystem;variance partitioning;tropical rainforest;Plant Leaves;Nitrogen Isotopes"
103;"Medicine;COVID19;Science;Humans;Prognosis;Stroke;Hospitalization;Risk Factors"
105;"Management;Institutional approach;Systematic literature analysis;Economic growth;Microeconomics;Entrepreneurship;Industrial Organization;O40;B52;L26;M13;Business and Management;Formal and informal institutions;O17;Economic development"
