6;Metformin suppresses Nrf2-mediated chemoresistance in hepatocellular carcinoma cells by increasing glycolysis
26;Childhood maltreatment is associated with changes in mitochondrial bioenergetics in maternal, but not in neonatal immune cells
83;Communication and humanization of care: Effects over burnout on nurses
46;Nitrogen additions reduce rhizospheric and heterotrophic respiration in a subtropical evergreen broad-leaved forest
13;Incomplete convergence of gliding mammal skeletons
14;Contemporary Multidisciplinary Management of Sinonasal Mucosal Melanoma
38;Update: Recommendations of the Advisory Committee on Immunization Practices for Use of Hepatitis A Vaccine for Postexposure Prophylaxis and for Preexposure Prophylaxis for International Travel
44;What explains high plant richness in East Asia? Time and diversification in the tribe Lysimachieae (Primulaceae)
19;Institutions, Incorporation, and Inequality: The Case of Minority Health Inequalities in Europe
1;Precarious employment and mental health: a systematic review and meta-analysis of longitudinal studies
21;Fracture Nonunion of the Clavicle After Surgical Reduction in a 13-Year-Old Girl: A Case Report
17;Character displacement in the midst of background evolution in island populations of Anolis lizards: A spatiotemporal perspective
47;Evaluation of the Effectiveness of Surveillance and Containment Measures for the First 100 Patients with COVID-19 in Singapore - January 2-February 29, 2020
33;A comparative carbon footprint analysis of disposable and reusable vaginal specula
72;Vitiligo-Like Lesions in a Patient with Metastatic Breast Cancer Treated with Cyclin-Dependent Kinase (CDK) 4/6 Inhibitor: A Case Report and Literature Review
8;Therapeutic Effects and Safe Uses of Plant-Derived Polyphenolic Compounds in Cardiovascular Diseases: A Review
9;Inositol hexakisphosphate kinase 3 promotes focal adhesion turnover via interactions with dynein intermediate chain 2
93;Laminin and collagen IV inclusion in immunoisolating microcapsules reduces cytokine-mediated cell death in human pancreatic islets
31;Effects of neighbour location and nutrient distributions on root foraging behaviour of the common sunflower
95;Probabilistic Opinion Pooling with Imprecise Probabilities
16;Effects of phytolithic rice-straw biochar, soil buffering capacity and pH on silicon bioavailability
81;Melbourne: The Archaeology of a World City
105;Twenty-five years of research on institutions, entrepreneurship, and economic growth: what has been learned?
78;Thermodynamics of relativistic quantum fields confined in cavities
79;Social Prescribing in National Health Service Primary Care: What Are the Ethical Considerations?
2;Associations of Parental Self-Efficacy With Diet, Physical Activity, Body Composition, and Cardiorespiratory Fitness in Swedish Preschoolers: Results From the MINISTOP Trial
25;Hsa_circ_0043265 Suppresses Proliferation, Metastasis, EMT and Promotes Apoptosis in Non-Small Cell Lung Cancer Through miR-25-3p/FOXP2 Pathway
103;Prognostic indicators and outcomes of hospitalised COVID-19 patients with neurological disease: An individual patient data meta-analysis
102;Logging and soil nutrients independently explain plant trait expression in tropical forests
3;Vegetation cover in relation to socioeconomic factors in a tropical city assessed from sub-meter resolution imagery
